Word,Length,Ortho_N,BG_Sum
paniac,6,1,8683
sanila,6,1,9188
mantuc,6,1,9364
panual,6,1,8353
markot,6,1,5859
farkup,6,1,4091
marchy,6,1,6843
hartyr,6,1,5875
harvel,6,1,7962
miscot,6,1,8386
gatrix,6,1,9404
maulor,6,1,7406
maytay,6,1,4450
mayhom,6,1,4530
geadow,6,1,5351
peanie,6,1,9732
leasly,6,1,8657
meduls,6,1,8035
meeksy,6,1,3142
celody,6,1,5520
cemoir,6,1,4766
hemory,6,1,7112
messos,6,1,9428
dethod,6,1,7007
bethyl,6,1,3878
sidair,6,1,4806
lidday,6,1,4757
midsks,6,1,3099
mishty,6,1,6464
miludy,6,1,3892
mildow,6,1,4407
limosa,6,1,6179
miruge,6,1,4373
fiscue,6,1,5496
pisfit,6,1,6614
rishap,6,1,8946
cissus,6,1,7644
misose,6,1,7789
mitven,6,1,9277
modust,6,1,6891
bodule,6,1,6109
cohair,6,1,5393
nolars,6,1,8550
moldek,6,1,5256
mondoy,6,1,8059
monegs,6,1,8552
sonths,6,1,9802
loocow,6,1,6203
mopput,6,1,3559
sorgue,6,1,4622
torose,6,1,9139
morrig,6,1,7988
morrew,6,1,9147
torsel,6,1,9354
wortar,6,1,8937
posaic,6,1,5867
lotifs,6,1,7690
motney,6,1,4444
pousse,6,1,7820
mucisa,6,1,5281
lucous,6,1,6641
muffan,6,1,4795
mugfer,6,1,7420
munith,6,1,7230
furmur,6,1,4056
murroy,6,1,4570
cuscle,6,1,6997
ruseum,6,1,4942
musirg,6,1,4637
husket,6,1,4236
mutank,6,1,6944
tutely,6,1,9354
nutual,6,1,5453
myolic,6,1,6526
myosid,6,1,3577
tyriad,6,1,5807
gyself,6,1,4235
mythac,6,1,4079
mapalm,6,1,6820
bapkin,6,1,8981
fearby,6,1,5685
beatly,6,1,8818
sebula,6,1,5842
fectar,6,1,7854
gephew,6,1,4495
newesm,6,1,8083
dicely,6,1,9079
ricety,6,1,8854
fimbly,6,1,4840
nimmus,6,1,4610
pimrod,6,1,4393
nitrid,6,1,9103
gitwit,6,1,5512
lobody,6,1,3277
noddel,6,1,5875
soggin,6,1,9000
notofy,6,1,3384
povels,6,1,5666
sovice,6,1,6014
huance,6,1,7240
puclei,6,1,5130
nudasm,6,1,3140
sudity,6,1,5973
cugget,6,1,3778
tutmeg,6,1,3948
oceyed,6,1,7184
opject,6,1,3341
otlige,6,1,6102
otoist,6,1,8945
ofsess,6,1,8327
oftuse,6,1,4598
oppult,6,0,3059
otturs,6,0,5139
otelot,6,1,9408
ofular,6,1,6628
orrity,6,0,9085
omious,6,1,8240
offent,6,1,8008
oggice,6,0,5247
oppset,6,0,4948
oipcan,6,1,6173
oigman,6,1,6391
oimrig,6,1,4936
oldios,6,1,6857
Olivyr,6,1,4988
Olivio,6,1,8194
omilet,6,1,8791
onsots,6,1,9155
olside,6,1,6858
orward,6,1,7083
oodlis,6,1,7280
ollose,6,0,7260
oftics,6,1,7530
ofacle,6,1,6087
olbits,6,1,5162
onchid,6,1,9453
ofdain,6,1,8552
ordeap,6,1,8671
ottans,6,0,8793
oggasm,6,1,3337
ofient,6,1,9087
ohigin,6,1,9424
ornute,6,1,8835
olphan,6,1,6561
ospruy,6,1,3695
omsify,6,1,3729
Ottaba,6,1,5237
oupces,6,1,8212
outoge,6,1,5700
outbod,6,1,3977
oufcry,6,1,3232
oulfit,6,1,5788
oublay,6,1,5674
outlep,6,1,7127
outpul,6,1,4080
oulrun,6,1,5255
ounwit,6,1,6238
otcart,6,1,6915
Olford,6,1,5371
optail,6,1,5342
oxygon,6,1,5099
Pacems,6,1,5402
paello,6,1,5978
bagans,6,1,7514
pajame,6,1,3924
halace,6,1,9324
raltry,6,1,8867
Pamelu,6,1,6101
Lanama,6,1,9554
hanels,6,1,9052
dapacy,6,1,4145
parlir,6,1,7903
tarody,6,1,7670
Pascil,6,1,5845
pasmry,6,1,3718
paunth,6,1,7763
vasued,6,1,7677
Pivlov,6,1,3685
peahem,6,1,6306
veanut,6,1,8422
gearls,6,1,6689
peepef,6,1,5317
pelvac,6,1,5435
celvis,6,1,6999
mencil,6,1,9373
heople,6,1,6935
jepper,6,1,9152
metrol,6,1,8224
pettem,6,1,9095
phikol,6,0,3065
Philok,6,0,4768
shobia,6,1,4584
shoney,6,1,9606
plooey,6,1,3554
photas,6,1,5980
chrase,6,1,8360
piagos,6,1,3931
picsup,6,1,4479
sicnic,6,1,7805
midgin,6,1,9829
ligeon,6,1,9625
vilots,6,1,5589
polply,6,0,4777
finkie,6,1,9660
pixeds,6,1,5856
placif,6,1,5749
clague,6,1,4162
plaods,6,1,3765
planot,6,1,7983
plalks,6,1,6206
glaque,6,1,3418
plasme,6,1,6515
platad,6,1,9905
blazas,6,1,4923
preads,6,1,9167
slease,6,1,9144
chight,6,0,4232
plouth,6,1,6186
plojed,6,1,6896
clunge,6,1,8146
blural,6,1,9289
moetic,6,1,9533
toetry,6,1,5188
hoison,6,1,9691
rolack,6,1,7866
rolicy,6,1,8657
dompom,6,1,4975
goncho,6,1,9076
poolad,6,1,6369
nopgun,6,1,3789
poplat,6,1,8803
poroos,6,1,7743
porlly,6,1,7273
potush,6,1,5482
pourod,6,1,6782
grefab,6,1,7171
prelum,6,1,8831
premox,6,1,7957
trepay,6,1,8425
prefty,6,1,7195
prewap,6,1,7732
pricoy,6,1,9122
procks,6,1,5318
shimal,6,0,8011
griory,6,1,9518
prossy,6,1,6130
shized,6,1,7966
brofit,6,1,5895
crompt,6,1,5397
fropel,6,1,6669
droton,6,1,9416
provid,6,1,5641
provis,6,1,7554
pryang,6,1,9494
dseudo,6,1,3540
gsyche,6,1,3847
publoc,6,1,4071
mueblo,6,1,3647
pullud,6,1,3986
dulpit,6,1,4475
hulsar,6,1,5441
gumice,6,1,6303
funchy,6,1,5429
runish,6,1,8092
cupils,6,1,3730
duppet,6,1,4287
furify,6,1,5254
hurism,6,1,7803
puraty,6,1,9743
furple,6,1,6224
cursue,6,1,4743
pushap,6,1,5177
putoot,6,1,4535
futrid,6,1,6759
bython,6,1,7242
luacks,6,1,3664
Guaker,6,1,8205
tualms,6,1,4542
fuarry,6,1,5023
luarts,6,1,5992
huartz,6,1,4712
guasar,6,1,5967
queady,6,1,3961
rueens,6,1,7609
vuench,6,1,7159
rueued,6,1,6104
quicho,6,1,5981
puiver,6,1,9768
quoruk,6,1,4060
puotas,6,1,4706
fabbit,6,1,4402
Dachel,6,1,6998
lacism,6,1,7754
rackat,6,1,9811
padial,6,1,8210
nadios,6,1,7708
fadium,6,1,4041
Rafeel,6,1,6517
ragtam,6,1,6744
cakish,6,1,6614
ramrud,6,1,5084
Ramsoy,6,1,5173
handom,6,1,8195
rapimt,6,1,5695
razzlu,6,1,3912
dealms,6,1,7782
geborn,6,1,5441
lebuff,6,1,4701
mebuke,6,1,3420
hecipe,6,1,6226
fecite,6,1,9431
mecoil,6,1,7298
decord,6,1,9758
decoup,6,1,8456
mectum,6,1,5551
refebs,6,1,6023
vefill,6,1,6207
teflex,6,1,9335
hefuel,6,1,4742
mefuge,6,1,4125
sefund,6,1,6505
begain,6,1,9720
fegard,6,1,5212
vegime,6,1,5550
behash,6,1,4883
dehear,6,1,9263
Reilfy,6,1,6499
helict,6,1,9662
feload,6,1,5245
remude,6,1,8867
bemake,6,1,4778
remork,6,1,9541
remety,6,1,9350
remova,6,1,7525
menews,6,1,8253
genown,6,1,6677
hepaid,6,1,5286
sepast,6,1,8820
bepeal,6,1,8074
depels,6,1,7087
repley,6,1,9645
fepute,6,1,6978
rejele,6,0,9879
hescue,6,1,8175
pesult,6,1,8418
vesume,6,1,9631
letake,6,1,7876
retull,6,1,9287
petold,6,1,6010
rebool,6,1,7769
letort,6,1,9893
meturn,6,1,5661
mevamp,6,1,4511
heveal,6,1,9009
revept,6,1,7960
reveky,6,1,7080
pevile,6,1,7758
levive,6,1,7437
gevoke,6,1,3074
levolt,6,1,5821
pevved,6,1,8532
lewire,6,1,9544
ribbek,6,1,4365
michly,6,1,6796
rildle,6,1,8363
cidges,6,1,7670
mipsaw,6,1,3166
risqua,6,1,6707
bitual,6,1,7033
tivals,6,1,9596
roadia,6,1,6611
goamer,6,1,9629
roasfs,6,1,4108
mobber,6,1,8518
tobots,6,1,4400
fobust,6,1,6500
lodeos,6,1,5692
sogues,6,1,6557
fomped,6,1,8833
roifar,6,0,6389
mosary,6,1,6144
dotton,6,1,8137
potund,6,1,6337
rousad,6,1,7073
ruboes,6,1,6440
huckus,6,1,3167
fudely,6,1,6645
rumars,6,1,7408
runorf,6,1,6207
runwoy,6,1,3059
lupees,6,1,8008
pusset,6,1,6820
sablis,6,1,8429
sackir,6,1,4377
saldle,6,1,7857
madism,6,1,7893
mafari,6,1,8164
safily,6,1,4744
dafest,6,1,9391
pafety,6,1,3957
halami,6,1,8530
salifu,6,1,7462
saluva,6,1,4877
saltud,6,1,5267
balute,6,1,9759
samoar,6,1,6030
sameel,6,1,6026
sanclo,6,1,7665
sandfa,6,1,6442
saucod,6,1,4656
saumer,6,1,9737
davant,6,1,7885
sabior,6,1,7620
sahory,6,1,5386
faxons,6,1,7009
sajony,6,1,5660
scabry,6,1,4895
scumpi,6,1,3848
clarce,6,0,7627
shrema,6,0,8778
threme,6,0,8867
phrism,6,1,6961
schoil,6,1,5370
scopad,6,1,6250
scotta,6,1,6804
glours,6,0,6403
grouts,6,1,6514
sprape,6,1,7819
schaps,6,1,4718
scrows,6,1,4614
threwy,6,0,6436
scrump,6,1,3845
scrept,6,1,7252
throll,6,1,6631
spruff,6,1,3365
scytho,6,1,3617
seawab,6,1,5742
gecret,6,1,9205
secura,6,1,8454
seekep,6,1,4537
jeesaw,6,1,6468
seithe,6,1,7590
deized,6,1,8496
seldim,6,1,6857
melves,6,1,9972
deptet,6,1,9387
septam,6,1,5890
dequel,6,1,5395
settlo,6,1,5946
sewige,6,1,4837
fexism,6,1,4605
soxist,6,1,7347
hextet,6,1,8226
pexton,6,1,8363
dexual,6,1,6730
phadow,6,1,4022
phafts,6,1,3095
blaggy,6,0,4357
thaken,6,1,7513
shamun,6,1,5597
shamfy,6,1,3521
phaped,6,1,8718
sharok,6,1,7777
sheich,6,1,7163
prells,6,0,9652
spelve,6,1,6234
shielp,6,1,5451
thifts,6,1,4078
spifty,6,1,3015
scoals,6,1,7249
choddy,6,1,3602
florts,6,1,6705
chorty,6,1,7170
shoold,6,1,5042
phouts,6,1,5369
shoval,6,1,6561
showod,6,1,4048
phrank,6,1,7681
chriek,6,1,5958
sprill,6,1,8096
chrimp,6,1,6405
chroud,6,1,5942
shrigs,6,1,5510
sickir,6,1,6167
dickly,6,1,6792
gidled,6,1,9637
sighad,6,1,5187
sichts,6,1,6849
pignal,6,1,6374
tignor,6,1,9392
siluge,6,1,5239
milken,6,1,7624
limian,6,1,9609
piphon,6,1,7699
sippem,6,1,5404
sizzlo,6,1,3878
chetch,6,0,6376
trimpy,6,0,6411
glirts,6,0,6002
skitay,6,1,5129
crulls,6,0,4527
slunks,6,1,3393
dralom,6,0,9256
Glavic,6,1,5897
fleepy,6,1,5518
sleeva,6,1,5663
bleigh,6,1,6199
fleuth,6,1,6303
slideg,6,1,7059
slimep,6,1,6479
slungs,6,1,7059
flogan,6,1,6545
flopes,6,1,8845
slopsy,6,1,3183
Slovaz,6,1,3011
glowly,6,1,4220
cluice,6,1,5520
frells,6,1,8686
smeldy,6,1,4480
prelts,6,0,8997
smilos,6,1,5644
trithy,6,0,8311
trokes,6,0,9447
thooch,6,0,5609
smouth,6,1,5430
slails,6,1,5215
knaked,6,1,7246
gnakes,6,1,7389
spappy,6,1,3391
gnatch,6,1,7608
gneaks,6,1,4905
kneaky,6,1,4619
speeze,6,1,3906
snoper,6,1,9542
snipry,6,1,4189
clivel,6,0,7835
drooze,6,0,4002
goccer,6,1,9028
pocial,6,1,6894
poften,6,1,9646
roftly,6,1,4467
foiree,6,1,7161
tolace,6,1,7779
solaly,6,1,8707
tolemn,6,1,7152
dolved,6,1,8379
solvas,6,1,4106
foothe,6,1,5493
lorbet,6,1,6697
bordid,6,1,6869
sofrow,6,1,4189
fource,6,1,5683
spajer,6,1,8254
sparle,6,1,8591
grasms,6,0,6033
speams,6,1,5449
grecks,6,1,7774
speuch,6,1,4602
kleedy,6,0,9058
grells,6,0,9056
phends,6,0,8294
spigat,6,1,7263
spirul,6,1,4158
blirit,6,0,9788
scrash,6,0,7530
scrits,6,0,7730
spoirs,6,1,4532
plokes,6,1,7862
brotty,6,0,4997
phouse,6,0,6920
phrawl,6,0,4223
schays,6,0,4196
schead,6,0,7009
sprote,6,1,9616
thruce,6,1,4313
spruns,6,1,6549
spunka,6,1,3481
bluads,6,0,3664
squalt,6,1,4509
chuare,6,0,9751
fluash,6,0,4238
squets,6,1,3400
thueak,6,0,4162
prueal,6,0,7290
bluire,6,0,7548
scuirm,6,1,3362
fluirt,6,0,3302
thable,6,0,8070
blairs,6,0,6396
gralls,6,0,8954
glamps,6,1,4584
spanch,6,1,8325
flands,6,1,8152
spanza,6,1,5598
traple,6,1,9864
blarch,6,1,8113
flarts,6,1,7466
smarve,6,1,7289
stasos,6,1,8521
blatue,6,0,8522
dratus,6,0,9894
gleady,6,0,6868
steiks,6,1,8600
steumy,6,1,8839
preels,6,0,8905
theely,6,0,7220
stoppe,6,1,7851
flicky,6,1,6548
pliffs,6,1,4467
clifle,6,0,7719
bligma,6,0,6486
trilts,6,0,7371
blitch,6,1,7861
scocky,6,1,5034
thodgy,6,0,3325
stoacs,6,1,6916
snolid,6,1,5858
trooge,6,0,6474
slorms,6,1,5433
stovas,6,1,7391
drowed,6,1,8194
chraps,6,0,6056
thraws,6,1,5021
shreak,6,1,8233
phrewn,6,0,5818
chrict,6,1,8072
chrike,6,0,5629
sprips,6,1,5879
chrode,6,1,7046
chrove,6,1,6352
Stuort,6,1,8137
clucco,6,0,4301
studia,6,1,7658
stumbs,6,1,5588
phunts,6,1,6722
blupid,6,0,3833
glupor,6,0,5251
clurdy,6,0,3292
shyled,6,1,9539
stylub,6,1,5319
plymie,6,0,5088
suamle,6,1,5695
jublet,6,1,6507
wubmit,6,1,3947
dubtle,6,1,4619
subarb,6,1,5241
sucbor,6,1,4823
fudden,6,1,7389
sugaro,6,1,6899
suitas,6,1,6802
buitor,6,1,7251
sulfar,6,1,5389
kullen,6,1,9907
summad,6,1,4603
lummit,6,1,5142
hummon,6,1,6872
sunlat,6,1,9040
kunray,6,1,5499
tunset,6,1,7836
muperb,6,1,8848
lupper,6,1,9317
bupply,6,1,3750
surfeb,6,1,3158
surtad,6,1,6145
Sussox,6,1,4777
champy,6,1,4570
smanky,6,1,6068
swasne,6,0,4754
sweirs,6,1,3268
smeaty,6,1,8965
driped,6,1,9944
swival,6,1,5068
twords,6,1,4247
syntux,6,1,4106
Gyrian,6,1,7672
systum,6,1,5395
tabbos,6,1,4667
Fahiti,6,1,8521
Taihei,6,1,4836
Taiwen,6,1,7091
galcum,6,1,5046
galkie,6,1,5463
tampeg,6,1,5797
gampon,6,1,8118
vangos,6,1,9085
dariff,6,1,7279
sarpon,6,1,9650
narsal,6,1,9661
tartun,6,1,8440
partar,6,1,9908
fassel,6,1,7216
tastod,6,1,8795
hattoo,6,1,8290
Gaurus,6,1,4568
baxied,6,1,6754
Taylot,6,1,4768
heabag,6,1,6131
deacup,6,1,6942
beapot,6,1,5526
ceensy,6,1,8401
Peflon,6,1,8658
lempos,6,1,7225
pempts,6,1,4921
fenors,6,1,9409
hepees,6,1,9445
thiele,6,1,8812
chighs,6,1,3969
thanly,6,1,7619
clirst,6,0,9170
plirty,6,0,6039
blorns,6,0,7732
sprash,6,1,8030
splead,6,1,7888
schice,6,0,7404
scroat,6,0,8417
sproes,6,0,8951
shrown,6,1,4539
sprows,6,0,5114
strush,6,0,8680
shrust,6,1,7242
splack,6,0,6031
sprart,6,0,9251
cidbit,6,1,4677
timbel,6,1,8685
dimbre,6,1,8310
rimely,6,1,8779
tiporf,6,1,9266
miptoe,6,1,3773
toddre,6,1,7045
togglo,6,1,4016
pokens,6,1,7874
somboy,6,1,3332
fomcat,6,1,7800
tonacs,6,1,8964
joothy,6,1,3547
tootre,6,1,9427
nootsy,6,1,3863
ropics,6,1,6108
lorque,6,1,5175
torrud,6,1,5719
borsos,6,1,6614
doucan,6,1,7993
louchy,6,1,5354
toulee,6,1,8362
lousle,6,1,8458
tralks,6,1,8208
thagic,6,1,6122
drauma,6,1,6284
spavel,6,0,5945
tremir,6,1,9422
brials,6,1,8048
fribal,6,1,7487
thibes,6,1,8150
trilks,6,1,6340
cricky,6,1,6997
prifle,6,1,8610
chipod,6,0,4739
slivia,6,1,5938
tholls,6,1,5847
prophy,6,1,5039
bropic,6,1,6582
troogh,6,1,5738
droupe,6,1,6282
drowel,6,1,5443
cruant,6,1,8398
thudge,6,1,3319
truess,6,1,8815
sluism,6,0,4732
spusts,6,0,7264
fruths,6,1,3380
lubers,6,1,9447
mulips,6,1,4971
tumork,6,1,5357
pundra,6,1,7520
tunneg,6,1,5670
furban,6,1,6285
turbil,6,1,4403
purkey,6,1,3154
lurnip,6,1,4452
turrot,6,1,5719
tussla,6,1,6227
butors,6,1,7049
fuxedo,6,1,5597
twanty,6,1,7979
tycoen,6,1,7218
ryphus,6,1,3058
dyrant,6,1,9821
uglied,6,1,9237
ugpire,6,1,6499
unible,6,1,8362
ulbend,6,1,7534
umbent,6,1,8750
ulborn,6,1,5089
umcles,6,1,9121
uncorg,6,1,8785
ubdies,6,1,8008
uldock,6,1,3541
uldone,6,1,8831
ulduly,6,1,4300
udease,6,1,8254
uteasy,6,1,8829
urfair,6,1,3642
unfald,6,1,6011
umhand,6,1,7026
usholy,6,1,6797
uphook,6,1,3304
unhort,6,1,6904
ugions,6,1,9863
urique,6,1,5204
unosex,6,1,6133
upjust,6,1,5618
unloke,6,1,4574
ugload,6,1,3691
ublock,6,1,4615
ummade,6,1,6342
unmesk,6,1,8397
uspack,6,1,5799
unpoid,6,1,4205
ulpick,6,1,5171
unrupe,6,1,4673
unrill,6,1,7864
ugruly,6,1,4306
ungafe,6,1,7190
umsaid,6,1,3326
unseaf,6,1,7788
unseef,6,1,7058
unshud,6,1,5652
unsolp,6,1,5873
upsung,6,1,7344
unthew,6,1,8253
ubtidy,6,1,6195
urtold,6,1,5348
untrae,6,1,9730
umveil,6,1,4284
uswell,6,1,5497
unwira,6,1,6303
unwose,6,1,5130
unwurn,6,1,3747
umbeat,6,1,7912
ugdate,6,1,9431
usheld,6,1,6573
uthill,6,1,6398
uchold,6,1,4780
ulkeep,6,1,3581
unlund,6,0,6177
unlift,6,1,5389
ullity,6,0,8277
udroar,6,1,6279
utroot,6,1,6602
ugshot,6,1,3982
upsike,6,1,3395
ustake,6,1,8137
urturn,6,1,4921
umward,6,1,4894
ulbane,6,1,7633
ubchin,6,1,9884
urgelt,6,1,4974
uneful,6,1,6020
utofia,6,1,4426
nacuum,6,1,4182
vagory,6,1,5010
vapdal,6,1,4960
vanuty,6,1,5875
varios,6,1,9669
bassal,6,1,7600
pelour,6,1,7895
nelvet,6,1,7371
veniaf,6,1,8597
venois,6,1,9635
vespol,6,0,9602
metoed,6,1,9092
viabla,6,1,6102
Viennu,6,1,6485
liewed,6,1,9279
miewer,6,1,9580
vilizy,6,1,5580
violep,6,1,8673
Vorgal,6,0,7004
virgun,6,1,4125
hirtue,6,1,4040
risage,6,1,8364
fisits,6,1,8440
Viviok,6,0,5154
vivigy,6,1,3370
rocals,6,1,8074
hoiced,6,1,9953
voicus,6,1,5033
golume,6,1,4611
voomoo,6,1,4299
votard,6,1,6641
moyage,6,1,3212
fulgar,6,1,5075
dalnut,6,1,4860
halrus,6,1,6366
narmly,6,1,6556
carmth,6,1,6679
warmip,6,1,6110
warpem,6,1,6571
washus,6,1,5169
wastos,6,1,7892
faylay,6,1,3387
teakly,6,1,8222
deighs,6,1,4277
weirso,6,1,3854
welleg,6,1,7685
weltor,6,1,6709
whazer,6,1,8147
pheeze,6,1,3715
chilst,6,1,8015
shimsy,6,1,3691
snisky,6,0,4763
whitan,6,1,8855
grolly,6,0,7350
bloosh,6,0,5715
snorls,6,0,4418
bidens,6,1,9735
higwam,6,1,3527
Wilbis,6,1,5340
Wilsor,6,1,5851
risdom,6,1,7465
pisely,6,1,8889
withul,6,1,5293
withep,6,1,6391
sooded,6,1,9329
woodun,6,1,4014
workid,6,1,4634
worghs,6,0,3946
worsew,6,1,6901
wraish,6,1,8202
wronch,6,1,9783
shetch,6,1,6154
wrisht,6,1,7383
chithe,6,0,7852
pachts,6,1,5421
yeasps,6,1,4584
yeashy,6,1,4993
yellop,6,1,5753
yippeo,6,1,3081
youchs,6,1,3797
gealot,6,1,8464
zethyr,6,1,3490
podiac,6,1,6071
dombie,6,1,4104
afenge,6,1,9749
amenue,6,1,7176
abidly,6,1,4324
avewed,6,1,7562
apaits,6,1,6073
aweken,6,1,5488
abards,6,1,5791
awhule,6,1,5199
babblo,6,1,4607
daboon,6,1,7836
cackup,6,1,4637
fadger,6,1,8990